"","Compartment","Phylum","otu","mean","sd","se"
"141","rhizoplane","p__Microgenomates","OTU_2097",0.000259600725365343,0.000149267527887825,1.78408819776148e-05
"142","rhizoplane","p__Mollusca","OTU_2135",2.63474419206109e-06,1.36049119759613e-05,1.62609800211451e-06
"143","rhizoplane","p__Nitrospirae","OTU_7",0.00674654907269048,0.00292849280606809,0.000350021838404253
"144","rhizoplane","p__Omnitrophica","OTU_4521",9.74194411802025e-05,8.79592934808358e-05,1.05131464025135e-05
"145","rhizoplane","p__Parcubacteria","OTU_2167",0.000502278070538482,0.000227924037159668,2.72421329968231e-05
"146","rhizoplane","p__Parvarchaeota","OTU_22487",0,0,0
"147","rhizoplane","p__PAUC34f","OTU_8694",2.22182123833402e-06,8.5349915419107e-06,1.02012660713187e-06
"148","rhizoplane","p__Planctomycetes","OTU_53",0.0216588514916523,0.00778100389179918,0.000930007846082063
"149","rhizoplane","p__Proteobacteria","OTU_28",0.378882315994543,0.0589378628728647,0.00704442198786752
"150","rhizoplane","p__Saccharibacteria","OTU_940",0.000994123163705759,0.000695627445961519,8.31433824851423e-05
"151","rhizoplane","p__SHA-109","OTU_2264",0.000118979943357623,0.000114504125146441,1.36858606261832e-05
"152","rhizoplane","p__SM2F11","OTU_3307",7.94300073907677e-05,6.65517334946831e-05,7.95445358736433e-06
"153","rhizoplane","p__Spirochaetae","OTU_1283",0.00030227754722174,0.000396143176093717,4.73481657459804e-05
"154","rhizoplane","p__TA06","OTU_5749",8.28109343557723e-07,6.9284598535412e-06,8.28109343557723e-07
"155","rhizoplane","p__Tenericutes","OTU_1200",0.000126782139986528,0.000154265178800123,1.84382155125993e-05
"156","rhizoplane","p__Thaumarchaeota","OTU_3",0.0253286516693793,0.0101842568804282,0.00121725151882984
"157","rhizoplane","p__Thermotogae","OTU_5375",4.0771131748745e-06,1.3724946474845e-05,1.6404448688318e-06
"158","rhizoplane","p__TM6","OTU_1615",0.000895225739256346,0.000637222747803039,7.61626858692867e-05
"159","rhizoplane","p__Verrucomicrobia","OTU_2",0.103444632447938,0.0316205575423727,0.00377937950177482
"160","rhizoplane","p__WCHB1-60","OTU_2475",0.000200118788976298,0.000163691560270916,1.95648835942384e-05
"161","rhizoplane","p__WD272","OTU_5519",2.84574267175144e-06,1.0704722196826e-05,1.27945902246233e-06
"162","rhizoplane","p__Woesearchaeota (DHVEG-6)","OTU_5595",6.63094794431553e-05,5.92653299249994e-05,7.08356178680011e-06
